UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21531407     PULS   1748 
     21531409     PULS   1733 
     21531411     PULS   1725 
     21531413     PULS   1725 
     21531415     PULS   1725 
     21531417     PULS   1725 
     21531419     PULS   1718 
     21531421     PULS   1710 
     21531423     PULS   1695 
     21531425     PULS   1688 
     21531427     PULS   1688 
     21531429     PULS   1688 
     21531431     PULS   1680 
     21531433     PULS   1680 
     21531435     PULS   1665 
     21531437     PULS   1650 
     21531439     PULS   1635 
     21531441     PULS   1620 
     21531443     PULS   1605 
     21531445     PULS   1590 
     21531447     PULS   1575 
     21531449     PULS   1560 
     21531451     PULS   1545 
     21531453     PULS   1523 
     21531455     PULS   1508 
     21531457     PULS   1485 
     21531459     PULS   1463 
     21531461     PULS   1455 
     21531463     PULS   1440 
